filename,notes,authors,licenses,url1,url2,url3,url4,url5,url6,url7,url8,url9,status
assets/character/*,Body,"bluecarrot16, Benjamin K. Smith (BenCreating), Evert, Eliza Wyatt (ElizaWy), TheraHedwig, MuffinElZangano, Durrani, Johannes Sj?lund (wulax), Stephen Challener (Redshrike)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani,https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle,https://opengameart.org/content/lpc-revised-character-basics,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-character-bases,OK
assets/character/*,Head,"bluecarrot16, Benjamin K. Smith (BenCreating), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-character-bases,,,,,,,,OK
assets/character/*,Eyes,"Matthew Krohn (makrohn), Stephen Challener (Redshrike)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,,,,,,,,,OK
assets/character/*,Hair,Manuel Riecke (MrBeast),"CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,,,,,,,,,OK
assets/character/*,Hat,"bluecarrot16, Fabzy",CC-BY-SA 3.0,https://opengameart.org/content/the-revolution-hair,https://opengameart.org/content/lpc-pirates,,,,,,,,OK
assets/character/*,Gloves,"Michael Whitlock (bigbeargames), Matthew Krohn (makrohn), Johannes Sjölund (wulax), bluecarrot16","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,http://opengameart.org/content/lpc-clothing-updates,,,,,,,,OK
assets/character/*,Longsleeve,"David Conway Jr. (JaidynReiman), Johannes Sjölund (wulax)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,http://opengameart.org/content/lpc-clothing-updates,,,,,,,,OK
assets/character/*,Jacket,bluecarrot16,OGA-BY 3.0,https://opengameart.org/content/lpc-pirates,,,,,,,,,OK
assets/character/*,Pants,Johannes Sjölund (wulax),"CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,,,,,,,,OK
assets/character/*,Shoes,"bluecarrot16, Johannes Sjölund (wulax)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,http://opengameart.org/content/lpc-clothing-updates,,,,,,,,OK
assets/character/*,Dagger,"bluecarrot16, Johannes Sjölund (wulax), Matthew Krohn (makrohn)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations,,,,,,,,OK
assets/character/*,Dagger,"bluecarrot16, Johannes Sjölund (wulax), Matthew Krohn (makrohn)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-extended-weapon-animations,,,,,,,,OK
,,,,,,,,,,,,,
assets/sprites/Skeleton/*,Shadow,drjamgo@hotmail.com,CC0,https://opengameart.org/content/shadow-for-lpc-sprite,,,,,,,,,OK
assets/sprites/Skeleton/*,Body,"bluecarrot16, Johannes Sj?lund (wulax), Stephen Challener (Redshrike)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-skeleton,https://opengameart.org/content/lpc-character-bases,,,,,,OK
assets/sprites/Skeleton/*,Head,"bluecarrot16, Johannes Sj?lund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-skeleton,https://opengameart.org/content/lpc-character-bases,,,,,,OK
,,,,,,,,,,,,,
assets/soundEffects/running-in-grass-6237.ogg,Run-Sound,EvanSki,CC0,https://freesound.org/people/EvanSki/sounds/411148/,,,,,,,,,OK
,,,,,,,,,,,,,
assets/sprites/Projectile/shuriken.png,Projectile,Loel,"GPL 2.0, CC0",https://opengameart.org/content/shuriken-pixel-art,,,,,,,,,OK
,,,,,,,,,,,,,
assets/maps/debugLevel2/*,Map,Kenney,CC0,https://www.kenney.nl/assets/tiny-dungeon,,,,,,,,,OK
